Volatility 3 Framework 2.26.2

PID	Process	Args

4	System	-
92	Registry	-
336	smss.exe	\SystemRoot\System32\smss.exe
428	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
504	wininit.exe	wininit.exe
512	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
600	winlogon.exe	winlogon.exe
644	services.exe	C:\Windows\system32\services.exe
664	lsass.exe	C:\Windows\system32\lsass.exe
768	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p
796	fontdrvhost.ex	"fontdrvhost.exe"
804	fontdrvhost.ex	"fontdrvhost.exe"
892	svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS -p
936	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM
276	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -s TermService
376	dwm.exe	"dwm.exe"
384	LogonUI.exe	-
728	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
992	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
1076	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
1152	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
1196	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s DsmSvc
1224	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc
1232	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p
1292	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p
1316	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
1384	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager
1440	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s nsi
1496	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s UmRdpService
1504	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
1580	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
1796	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc
1808	VBoxService.ex	C:\Windows\System32\VBoxService.exe
1824	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -s CertPropSvc
1936	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s EventSystem
1948	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
1956	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation
1976	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s Themes
8	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm
1060	MemCompression	-
1668	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS
2012	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s SessionEnv
2072	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
2080	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache
2204	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2300	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache
2320	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2332	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
2416	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection
2444	svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository
2552	spoolsv.exe	C:\Windows\System32\spoolsv.exe
2616	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
2624	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc
2676	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc
3028	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc
3036	svchost.exe	C:\Windows\System32\svchost.exe -k utcsvc -p
3044	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS
3060	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Winmgmt
2340	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s LanmanServer
3080	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s SstpSvc
3108	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks
3116	splunkd.exe	"C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe" service
3128	MsMpEng.exe	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.25040.2-0\MsMpEng.exe"
3152	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s WpnService
3164	MpDefenderCore	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.25040.2-0\MpDefenderCoreService.exe"
3208	svchost.exe	C:\Windows\System32\svchost.exe -k NetSvcs -p -s iphlpsvc
3248	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s WdiServiceHost
3440	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs
3812	dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{3EB3C877-1F16-487C-9050-104DBCD66683}
3836	conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4
3936	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p -s PolicyAgent
3996	SearchIndexer.	C:\Windows\system32\SearchIndexer.exe /Embedding
4164	AggregatorHost	AggregatorHost.exe
4500	svchost.exe	-
5112	splunk-winevtl	"C:\Program Files\SplunkUniversalForwarder\bin\splunk-winevtlog.exe"
4220	sihost.exe	sihost.exe
4204	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc
3920	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService
4392	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s TokenBroker
4552	taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
5032	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TabletInputService
816	ctfmon.exe	"ctfmon.exe"
3316	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s CDPSvc
792	userinit.exe	-
516	explorer.exe	C:\Windows\Explorer.EXE
2360	svchost.exe	C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc
5204	StartMenuExper	"C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca
5284	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
5476	SearchApp.exe	"C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca
5656	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
4860	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
5856	SecurityHealth	"C:\Windows\System32\SecurityHealthSystray.exe" 
5380	SecurityHealth	C:\Windows\system32\SecurityHealthService.exe
6000	VBoxTray.exe	"C:\Windows\System32\VBoxTray.exe" 
4048	msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --no-startup-window --win-session-start
