Volatility 3 Framework 2.26.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0x980d1d868080	112	-	N/A	False	2025-06-02 05:18:51.000000 UTC	N/A	Disabled
92	4	Registry	0x980d1d9e4040	4	-	N/A	False	2025-06-02 05:18:49.000000 UTC	N/A	Disabled
336	4	smss.exe	0x980d20197040	2	-	N/A	False	2025-06-02 05:18:51.000000 UTC	N/A	Disabled
428	412	csrss.exe	0x980d20268140	10	-	0	False	2025-06-02 05:18:53.000000 UTC	N/A	Disabled
504	412	wininit.exe	0x980d21dc3140	1	-	0	False	2025-06-02 05:18:53.000000 UTC	N/A	Disabled
512	496	csrss.exe	0x980d21dc4080	12	-	1	False	2025-06-02 05:18:53.000000 UTC	N/A	Disabled
600	496	winlogon.exe	0x980d22a21080	5	-	1	False	2025-06-02 05:18:54.000000 UTC	N/A	Disabled
644	504	services.exe	0x980d22a32080	6	-	0	False	2025-06-02 05:18:54.000000 UTC	N/A	Disabled
664	504	lsass.exe	0x980d22a41080	8	-	0	False	2025-06-02 05:18:54.000000 UTC	N/A	Disabled
768	644	svchost.exe	0x980d22ae3240	13	-	0	False	2025-06-02 05:18:55.000000 UTC	N/A	Disabled
796	600	fontdrvhost.ex	0x980d22af0140	5	-	1	False	2025-06-02 05:18:55.000000 UTC	N/A	Disabled
804	504	fontdrvhost.ex	0x980d22af2140	5	-	0	False	2025-06-02 05:18:55.000000 UTC	N/A	Disabled
892	644	svchost.exe	0x980d22afa2c0	8	-	0	False	2025-06-02 05:18:55.000000 UTC	N/A	Disabled
936	644	svchost.exe	0x980d22b86240	5	-	0	False	2025-06-02 05:18:55.000000 UTC	N/A	Disabled
276	644	svchost.exe	0x980d22c40300	24	-	0	False	2025-06-02 05:18:55.000000 UTC	N/A	Disabled
376	600	dwm.exe	0x980d22c08080	15	-	1	False	2025-06-02 05:18:55.000000 UTC	N/A	Disabled
384	600	LogonUI.exe	0x980d22c0f080	0	-	1	False	2025-06-02 05:18:55.000000 UTC	2025-06-02 05:20:12.000000 UTC	Disabled
728	644	svchost.exe	0x980d22c22300	3	-	0	False	2025-06-02 05:18:55.000000 UTC	N/A	Disabled
992	644	svchost.exe	0x980d22c5f280	1	-	0	False	2025-06-02 05:18:56.000000 UTC	N/A	Disabled
1076	644	svchost.exe	0x980d22c80300	1	-	0	False	2025-06-02 05:18:56.000000 UTC	N/A	Disabled
1152	644	svchost.exe	0x980d22c99240	6	-	0	False	2025-06-02 05:18:56.000000 UTC	N/A	Disabled
