Volatility 3 Framework 2.26.2

Task Name	Principal ID	Display Name	Enabled	Creation Time	Last Run Time	Last Successful Run Time	Trigger Type	Trigger Description	Action Type	Action	Action Arguments	Action Context	Working Directory	Key Name

Microsoft Compatibility Appraiser	LocalSystem	-	True	2025-06-01 08:43:34.000000 UTC	2025-05-29 09:52:09.000000 UTC	2025-06-01 08:45:10.000000 UTC	Time	-	-	-	-	LocalSystem	-	{015720BB-B23F-40E4-9172-04DC47D5EE17}
Microsoft Compatibility Appraiser	LocalSystem	-	False	2025-06-01 08:43:34.000000 UTC	2025-05-29 09:52:09.000000 UTC	2025-06-01 08:45:10.000000 UTC	WindowsNotificationFacility	WNF state 750cbca3290b9641	-	-	-	LocalSystem	-	{015720BB-B23F-40E4-9172-04DC47D5EE17}
Microsoft Compatibility Appraiser	LocalSystem	-	False	2025-06-01 08:43:34.000000 UTC	2025-05-29 09:52:09.000000 UTC	2025-06-01 08:45:10.000000 UTC	WindowsNotificationFacility	WNF state 7510bca323028b41	-	-	-	LocalSystem	-	{015720BB-B23F-40E4-9172-04DC47D5EE17}
ResPriStaticDbSync	LocalSystem	-	-	-	2025-05-23 09:52:09.000000 UTC	-	-	-	ComHandler	{297ee78c-ba95-4e94-81d3-d6e7f089c7b5}	-	LocalSystem	N/A	{01ED1E08-CCFC-4D5D-B351-E2A8C56C6A8A}
Schedule Work	Author	-	True	-	2025-05-29 06:55:39.000000 UTC	-	Time	-	Exe	%systemroot%\system32\usoclient.exe	StartWork	Author	-	{046FF19C-62EE-4F49-9BCE-552C20CFA806}
Work Folders Logon Synchronization	InteractiveUsers	-	True	2025-06-02 05:33:53.000000 UTC	2025-05-29 09:52:08.000000 UTC	2025-06-02 05:33:53.000000 UTC	Logon	Logon trigger	ComHandler	{97d47d56-3777-49fb-8e8f-90d7e30e1a1e}	Logon	InteractiveUsers	N/A	{056D499B-1CD6-4AC4-89FF-A1F47AAA5C26}
Cellular	LocalSystem	-	True	-	2025-05-29 09:52:09.000000 UTC	-	WindowsNotificationFacility	WNF state 7518bca33a19870f	Exe	%windir%\system32\ProvTool.exe	/turn 7 /source CellStateChangeTask	LocalSystem	-	{0595976E-0BCA-4E03-92CB-A93A691BD48E}
RegisterDeviceSettingChange	System	-	True	2025-05-29 06:55:14.000000 UTC	2025-05-29 09:52:09.000000 UTC	2025-05-29 06:55:22.000000 UTC	WindowsNotificationFacility	WNF state 75f8bca33e06830d	ComHandler	{ae31b729-d5fd-401e-af42-784074835afe}	-RegisterDevice -SettingChange -Full	System	N/A	{05E3723A-162F-49AB-8BEA-63838BC451F1}
RegisterDeviceSettingChange	System	-	True	2025-05-29 06:55:14.000000 UTC	2025-05-29 09:52:09.000000 UTC	2025-05-29 06:55:22.000000 UTC	WindowsNotificationFacility	WNF state 7520bca321078541	ComHandler	{ae31b729-d5fd-401e-af42-784074835afe}	-RegisterDevice -SettingChange -Full	System	N/A	{05E3723A-162F-49AB-8BEA-63838BC451F1}
QueueReporting	LocalSystem	-	True	2025-06-02 05:33:53.000000 UTC	2025-05-29 09:52:08.000000 UTC	2025-06-02 05:33:54.000000 UTC	Boot	Boot trigger	Exe	%windir%\system32\wermgr.exe	-upload	LocalSystem	-	{05E5BF0D-3DC5-4ED5-8386-C30270C5F852}
QueueReporting	LocalSystem	-	True	2025-06-02 05:33:53.000000 UTC	2025-05-29 09:52:08.000000 UTC	2025-06-02 05:33:54.000000 UTC	WindowsNotificationFacility	WNF state 7510bca33a0b9441	Exe	%windir%\system32\wermgr.exe	-upload	LocalSystem	-	{05E5BF0D-3DC5-4ED5-8386-C30270C5F852}
QueueReporting	LocalSystem	-	True	2025-06-02 05:33:53.000000 UTC	2025-05-29 09:52:08.000000 UTC	2025-06-02 05:33:54.000000 UTC	WindowsNotificationFacility	WNF state 7510bca33e0b8441	Exe	%windir%\system32\wermgr.exe	-upload	LocalSystem	-	{05E5BF0D-3DC5-4ED5-8386-C30270C5F852}
QueueReporting	LocalSystem	-	True	2025-06-02 05:33:53.000000 UTC	2025-05-29 09:52:08.000000 UTC	2025-06-02 05:33:54.000000 UTC	WindowsNotificationFacility	WNF state 7508bca3380c960c	Exe	%windir%\system32\wermgr.exe	-upload	LocalSystem	-	{05E5BF0D-3DC5-4ED5-8386-C30270C5F852}
QueueReporting	LocalSystem	-	True	2025-06-02 05:33:53.000000 UTC	2025-05-29 09:52:08.000000 UTC	2025-06-02 05:33:54.000000 UTC	Time	-	Exe	%windir%\system32\wermgr.exe	-upload	LocalSystem	-	{05E5BF0D-3DC5-4ED5-8386-C30270C5F852}
SynchronizeTime	LocalService	-	-	2025-06-01 09:55:19.000000 UTC	2025-05-29 09:52:09.000000 UTC	2025-06-01 09:55:27.000000 UTC	-	-	Exe	%windir%\system32\sc.exe	start w32time task_started	LocalService	-	{0629DC9B-858A-4A92-BBC2-5E9AD51C194A}
StartOobeAppsScan_LicenseAccepted	LocalSystem	-	True	-	2025-05-30 07:52:37.000000 UTC	-	WindowsNotificationFacility	WNF state 7560bca322028f02	Exe	%systemroot%\system32\usoclient.exe	StartOobeAppsScan	LocalSystem	-	{06460063-0C43-4D1A-A20D-84D93C4C71C3}
Proxy	LocalSystem	-	True	2025-06-02 03:19:18.000000 UTC	2025-05-29 09:52:08.000000 UTC	2025-06-02 03:19:19.000000 UTC	Boot	Boot trigger	Exe	%windir%\system32\rundll32.exe	/d acproxy.dll,PerformAutochkOperations	LocalSystem	-	{07AE0092-6916-4ABB-906C-62074AFBBF83}
Installation	Interactive Users	-	True	2025-06-02 05:35:12.000000 UTC	2025-05-29 09:52:09.000000 UTC	2025-06-02 05:35:14.000000 UTC	Logon	Logon trigger	ComHandler	{6f58f65f-ec0e-4aca-99fe-fc5a1a25e4be}	Install $(Arg0)	Interactive Users	N/A	{07E0919D-1F8D-4FB8-A2D9-DE3244EFD97B}
